id,en,zh,pos,stage,difficulty
148,"Chinese book","语文书",n.,"小学",A1
149,chopsticks,"筷子",n.,"小学",A1
150,chore,"家务杂事",n.,"小学",A1
151,Christmas,"圣诞节",n.,"小学",A1
152,cinema,"电影院",n.,"小学",A1
153,circle,"圆形",n.,"小学",A1
154,city,"城市",n.,"小学",A1
155,class,"班级；课",n.,"小学",A1
156,classmate,"同学",n.,"小学",A1
157,classroom,"教室",n.,"小学",A1
158,clean,"干净的；打扫",adj./v.,"小学",A1
159,"clean my room","打扫房间",v.,"小学",A1
160,cleaned,"打扫",v.,"小学",A1
161,clever,"聪明的",adj.,"小学",A1
162,climb,"爬",v.,"小学",A1
163,climbing,"攀登",v.,"小学",A1
164,clock,"时钟",n.,"小学",A1
165,close,"关，闭",v./adj.,"小学",A1
166,clothes,"衣服",n.,"小学",A1
167,cloudy,"多云的",adj.,"小学",A1
168,club,"俱乐部",n.,"小学",A1
169,coach,"教练",n.,"小学",A1
170,coat,"外套，大衣",n.,"小学",A1
171,coin,"硬币",n.,"小学",A1
172,cold,"冷的；感冒",adj./n.,"小学",A1
173,colour,"颜色",n.,"小学",A1
174,"colour (AmE color)","颜色",n.,"小学",A1
175,come,"来",v.,"小学",A1
176,"come on","加油",phr.,"小学",A1
177,comic,"滑稽的",adj.,"小学",A1
178,"comic book","连环画册",n.,"小学",A1
179,computer,"计算机，电脑",n.,"小学",A1
180,"computer room","计算机房",n.,"小学",A1
181,contest,"比赛",n.,"小学",A1
182,cook,"烹调，煮；厨师",v./n.,"小学",A1
183,cooking,"烹饪",n.,"小学",A1
184,cool,"凉爽的；酷的",adj.,"小学",A1
185,corner,"角落",n.,"小学",A1
186,cough,"咳嗽",v./n.,"小学",A1
187,could,"能（过去式）","modal v.","小学",A1
188,count,"数数",v.,"小学",A1
189,"count to ten","数到十",v.,"小学",A1
190,country,"国家",n.,"小学",A1
191,countryside,"乡村",n.,"小学",A1
192,cousin,"堂（表）兄弟姐妹",n.,"小学",A1
193,cow,"奶牛",n.,"小学",A1
194,crayon,"蜡笔",n.,"小学",A1
195,crossing,"十字路口",n.,"小学",A1
196,cry,"哭；喊叫",v./n.,"小学",A1
197,cucumber,"黄瓜",n.,"小学",A1
198,cup,"杯子",n.,"小学",A1
199,cute,"可爱的",adj.,"小学",A1
200,cycling,"骑自行车",n.,"小学",A1
201,dad,"爸爸",n.,"小学",A1
202,dance,"跳舞",v./n.,"小学",A1
203,dancing,"跳舞",n.,"小学",A1
204,dangerous,"危险的",adj.,"小学",A1
205,day,"天，日",n.,"小学",A1
206,dear,"亲爱的",adj.,"小学",A1
207,December,"十二月",n.,"小学",A1
208,deep,"深的",adj.,"小学",A1
209,degree,"度",n.,"小学",A1
210,delicious,"美味的",adj.,"小学",A1
211,dentist,"牙医",n.,"小学",A1
212,desk,"书桌",n.,"小学",A1
213,diary,"日记",n.,"小学",A1
214,dictionary,"词典",n.,"小学",A1
215,different,"不同的",adj.,"小学",A1
216,difficult,"困难的",adj.,"小学",A1
217,"dining hall","饭厅",n.,"小学",A1
218,dinner,"正餐，晚餐",n.,"小学",A1
219,dinosaur,"恐龙",n.,"小学",A1
220,dirty,"脏的",adj.,"小学",A1
221,do,"做，干",v.,"小学",A1
222,"do homework","做作业",v.,"小学",A1
223,"do kung fu","练武术",v.,"小学",A1
224,"do morning exercises","早锻炼",v.,"小学",A1
225,doctor,"医生",n.,"小学",A1
226,dog,"狗",n.,"小学",A1
227,"doing kung fu","练功夫",n.,"小学",A1
228,"doing morning exercises","做早操",v.,"小学",A1
229,doll,"玩偶",n.,"小学",A1
230,dollar,"元",n.,"小学",A1
231,door,"门",n.,"小学",A1
232,down,"向下",adv./prep.,"小学",A1
233,drank,"喝（过去式）",v.,"小学",A1
234,draw,"画",v.,"小学",A1
235,dream,"梦",n.,"小学",A1
236,dress,"连衣裙；穿衣",n./v.,"小学",A1
237,drink,"喝；饮料",v./n.,"小学",A1
238,drinking,"喝",v.,"小学",A1
239,driver,"司机",n.,"小学",A1
240,drum,"鼓",n.,"小学",A1
241,duck,"鸭子",n.,"小学",A1
242,each,"每个",adj.,"小学",A1
243,"each other","互相",pron.,"小学",A1
244,ear,"耳朵",n.,"小学",A1
245,early,"早的（地）",adj./adv.,"小学",A1
246,earth,"地球；泥土",n.,"小学",A1
247,Easter,"复活节",n.,"小学",A1
248,easy,"容易的",adj.,"小学",A1
249,eat,"吃",v.,"小学",A1
250,"eat breakfast","吃早饭",v.,"小学",A1
251,"eat dinner","吃晚饭",v.,"小学",A1
252,eating,"吃",v.,"小学",A1
253,"eating lunch","吃午饭",v.,"小学",A1
254,egg,"蛋",n.,"小学",A1
255,eight,"八",num.,"小学",A1
256,eighteen,"十八",num.,"小学",A1
257,eighty,"八十",num.,"小学",A1
258,elephant,"大象",n.,"小学",A1
259,eleven,"十一",num.,"小学",A1
260,else,"其他",adv.,"小学",A1
261,email,"电子邮件",n.,"小学",A1
262,English,"英国的；英语",adj./n.,"小学",A1
263,"English book","英语书",n.,"小学",A1
