head_word,is_primary,is_middle,is_high,is_zhongkao,is_gaokao,is_cet4,is_cet6,is_kaoyan,is_ielts,is_toefl,is_gre,is_gmat,is_sat,is_bec,is_level4,is_level8,is_phonetic_filled,phonetic_source
abnormality,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,origin
abnormally,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,fuzzy:normally
aboard,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,origin
abode,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,origin
abolish,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,origin
abolition,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,origin
abominable,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,origin
abominate,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,origin
abomination,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,origin
aboriginal,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,origin
aborigine,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,origin
abort,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,origin
abortion,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,origin
abortive,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,origin
abound,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,origin
about,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,origin
above,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,origin
above all,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
aboveboard,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,origin
aboveground,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,origin
abracadabra,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,origin
abrade,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,origin
abrasion,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,origin
abrasive,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,origin
abreast,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,origin
abridge,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,origin
abridged,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,origin
abridgement,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,fuzzy:abridgment
abridgment,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,origin
abroad,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,origin
abrogate,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,origin
abrupt,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,origin
abruptly,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,origin
abruptness,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,fuzzy:abrupt
abscissa,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,origin
abscond,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,origin
abseil,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
absence,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,origin
absent,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,origin
absent-minded,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,origin
absentee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,origin
absenteeism,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,origin
absinth,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,fuzzy:absent
absolute,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,origin
absolutely,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,origin
absolution,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,origin
absolve,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,origin
absorb,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,origin
absorbed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,origin
absorption,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,origin
abstain,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,origin
abstemious,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,origin
abstention,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,origin
abstentious,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,fuzzy:abstention
abstinence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,origin
